,0,나이,성별
0,임한별,34,0
1,신용재 (2F),33,0
2,태연 (TAEYEON),34,1
3,마크툽 (MAKTUB),34,0
4,엠씨더맥스 (M.C the MAX),42,0
5,박효신,41,0
6,SG 워너비,38,0
7,가비엔제이,34,1
8,양다일,31,0
9,다비치,38,1
10,케이윌,41,0
11,노라조,48,0
12,송하예,29,1
13,먼데이 키즈 (Monday Kiz),38,0
14,이영현,41,1
15,DK(디셈버),37,0
16,Tablo,42,0
17,블락비 (Block B),32,0
18,BLACKPINK,26,1
19,"이홍기 (FT아일랜드), 유회승 (엔플라잉)",33,0
20,노을,39,0
21,길구봉구,40,0
22,이수 (엠씨더맥스),42,0
23,정승환,26,0
24,걸스데이,37,1
25,블랙펄,40,1
26,김범수,44,0
27,채동하,41,0
28,김돈규,50,0
29,엠투엠 (M To M),39,0
30,"김종국, SG 워너비",47,0
31,씨야,36,1
32,최유리,24,1
33,김용준,38,0
34,카라,34,1
35,진,30,0
36,"경서예지, 차가을",28,1
37,WSG워너비(4FIRE),33,1
38,WSG워너비 (가야G),33,1
39,이석훈,39,0
40,嵐 (ARASHI),39,0
41,김진호 (SG워너비),37,0
42,"SG 워너비, 브라운아이드걸스",37,0
43,MSG워너비(정상동기),33,0
44,MSG워너비(M.O.M),33,1
45,차지연,41,1
46,"SG 워너비, KCM",33,0
47,방탄소년단,30,0
48,아이유,30,1
49,조장혁,55,0
50,우효,27,1
51,"울랄라세션, 아이유",30,1
52,박신혜,33,1
53,스무살,36,1
54,성시경,44,0
55,정세운,26,0
56,용주 (YONGZOO),29,0
57,서영은,49,1
58,김광석,58,0
59,승희 (오마이걸),27,1
60,Evan Rachel Wood,35,1
61,tearliner,40,0
62,설리 (SULLI),25,1
63,"먼데이 키즈 (Monday Kiz), 펀치 (Punch)",38,0
64,윤하 (YOUNHA),35,1
65,제이,21,0
66,이보람 (씨야),36,1
67,별,39,1
68,에디킴,32,0
69,수지 (Suzy),28,1
70,"정세운, 식케이 (Sik-K)",29,0
71,NewJeans,15,1
72,가호 (Gaho),25,0
73,홍경민,47,0
74,IVE (아이브),18,1
75,"SG 워너비, 김종욱",33,0
76,간미연,41,1
77,민경훈,38,0
78,"임슬옹, 조이 (JOY)",36,0
79,조이 (JOY),26,1
80,박화요비,41,1
81,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",44,0
82,오마이걸 (OH MY GIRL),28,1
83,브레이브걸스,33,1
84,멜로망스,31,0
85,임창정,49,0
86,임재범,60,0
87,비스트,32,0
88,버즈,38,0
89,조성모,46,0
90,에픽하이 (EPIK HIGH),42,0
91,강타 (KANGTA),43,0
92,앤디,42,0
93,플라워,47,0
94,밍꼬발랄 (박민정),29,1
95,투투,49,0
96,규현 (KYUHYUN),35,0
97,김현성,45,0
98,거북이,41,1
99,이수영,44,1
100,브라운아이드걸스,35,1
101,"테이, 간미연",40,0
102,임현정,49,1
103,"Mena Massoud, Naomi Scott",22,1
104,"아이유, 유승호",30,1
105,Westlife,40,0
106,코요태,30,0
107,Katy Perry,38,1
108,티아라,34,1
109,보아 (BoA),36,1
110,WSG워너비 (오아시소),33,1
111,임형주,37,0
112,한해,33,0
113,핑클 (Fin.K.L),40,1
114,"싹쓰리 (유두래곤, 린다G, 비룡)",40,0
115,TWICE (트와이스),20,1
116,"소유 (SOYOU), 오반",31,1
117,러블리즈,20,1
118,크루셜스타 (CRUCiAL STAR),33,0
119,다이나믹 듀오,43,0
120,마미손,38,0
121,DPR LIVE,30,0
122,여자친구 (GFRIEND),25,1
123,한요한,31,0
124,Sondia,31,1
125,빈첸,20,0
126,기리보이,32,0
127,"김하온 (HAON), 빈첸",20,0
128,키드밀리 (Kid Milli),29,0
129,지아,36,1
130,볼빨간사춘기,27,1
131,옥주현,43,1
132,Hash Swan,28,0
133,헤이즈 (Heize),31,1
134,킬라그램 (KILLAGRAMZ),31,0
135,CHEEZE (치즈),31,1
136,보이비,36,0
137,청하,27,1
138,"에릭남 (Eric Nam), CHEEZE (치즈)",34,0
139,EXID,31,1
140,모모랜드 (MOMOLAND),26,1
141,페노메코 (PENOMECO),30,0
142,"행주, 양홍원",36,0
143,Migos,28,0
144,박재범,36,0
145,DEAN,30,0
146,"키드밀리 (Kid Milli), Jvcki Wai, 스윙스",29,0
147,빈지노 (Beenzino),35,0
148,"민서 (MINSEO), 윤종신",27,1
149,어쿠스틱 콜라보,30,0
150,"스윙스, 기리보이, 그냥노창, C JAMM",36,0
151,Apink (에이핑크),29,1
152,마이티 마우스,41,0
153,지코 (ZICO),30,0
154,"릴보이 (lIlBOI), 로꼬, 박재범",32,0
155,"한동근, 최해든",30,0
156,마커스,32,0
157,소울스타 (SOULSTAR),40,0
158,ITZY (있지),19,1
159,Charlie Puth,31,0
160,백아연,30,1
161,WINNER,31,0
162,케이시 (Kassy),27,1
163,Red Velvet (레드벨벳),29,1
164,god,42,0
165,"로꼬, 펀치 (Punch)",33,0
166,산들,31,0
167,"이석훈, 로코베리",39,0
168,나윤권,39,0
169,장범준,34,0
170,샵,41,0
171,"서인국, 정은지",35,0
172,조정석,42,0
173,로제 (ROS?),26,1
174,더 네임,42,0
175,거미,42,1
176,브라운 아이즈,44,0
177,로이킴,30,0
178,브라운 아이드 소울,45,0
179,하동균,43,0
180,일 락,45,0
181,웬디 (WENDY),29,1
182,프리스타일,30,0
183,2:00 오전,-1,-1
184,이지훈,44,0
185,테이,40,0
186,김원준,50,0
187,김형중,50,0
188,팀,41,0
189,이기찬,44,0
190,오스카,49,0
191,봉구 (길구봉구),36,0
192,신혜성,43,0
193,벤,31,1
194,김연지,36,1
195,Dragonfly,40,0
196,허각,38,0
197,"아이유, 나윤권",30,1
198,초아,33,1
199,스탠딩 에그,30,0
200,김필,36,0
201,"Crush, 로꼬",31,0
202,V.One,44,0
203,"Apink BnN (보미,남주)",20,1
204,"신혜성, 임창정",43,0
205,김조한,50,0
206,Bro,35,0
207,린,41,1
208,바이브,43,0
209,이하이,26,1
210,에코,49,1
211,Dan + Shay,30,0
212,Imagine Dragons,30,0
213,MKTO,30,0
214,박응식,59,0
215,베이식 (Basick),36,0
216,박원,38,0
217,하현우 (국카스텐),41,0
218,폴킴,35,0
219,Calvin Harris,39,0
220,쿨 (COOL),40,0
221,나얼,44,0
222,코나,20,0
223,Little Mix,31,0
224,New Hope Club,20,0
225,이소라,53,1
226,BewhY (비와이),30,0
227,Sia,47,1
228,B1A4,31,0
229,"길구봉구, 하동균",40,0
230,"하동균, 이정(J.Lee)",40,0
231,뱅크,50,0
232,곽동현 (KWAK DONG HYUN),36,0
233,매드클라운,38,0
234,딥플로우,30,0
235,김경호,52,0
236,"볼빨간사춘기, 스무살",27,1
237,넉살,36,0
238,어노인팅,30,1
239,카더가든,32,0
240,이무진,22,0
241,김세정,26,1
242,"동물음악대(펭수, 록단장, 소울곰, 고막여우)",10,0
243,조용필,73,0
244,"펭수, Tiger JK, 비지 (Bizzy), 비비 (BIBI)",10,0
245,Ho?ng Th?y Linh,34,1
246,HONNE,30,0
247,Cosmic Boy,30,0
248,(여자)아이들,20,0
249,DAY6 (데이식스),27,0
250,"강민경 (다비치), 잔나비 최정훈",30,1
251,sokodomo,20,0
252,AKMU (악뮤),20,1
253,정재일,41,0
254,달의하루,33,0
255,매드몬스터 (MAD MONSTER),23,0
256,하이라이트 (Highlight),30,0
257,Justin Bieber,29,0
258,Abir,20,0
259,Vaundy,23,0
260,"토이, 윤하 (YOUNHA)",30,1
261,경제환,24,0
262,프라이머리,20,0
263,Mae Muller,25,1
264,JIDA (지다),31,0
265,"양요섭, 정은지",33,0
266,Jeff Bernat,33,0
267,10CM,40,0
268,Camila Cabello,26,1
269,Christopher,31,0
270,Jakubi,30,0
271,양요섭,33,0
272,긱스 (Geeks),32,0
273,Josef Salvat,34,0
274,In Real Life,20,1
275,소수빈,20,0
276,"창모 (CHANGMO), Hash Swan, ASH ISLAND, 김효은",29,0
277,Stevie Wonder,73,0
278,환불원정대,30,1
279,용준형,30,0
280,Dua Lipa,27,1
281,Daniel Caesar,28,0
282,패닉,40,0
283,Colde (콜드),29,0
284,Ruel,20,0
285,Everybody Loves an Outlaw,20,1
286,"Jesse Barrera, Johnny Stimson, Jeff Bernat",20,1
287,크르르,20,0
288,스텔라장 (Stella Jang),31,1
289,AJR,30,0
290,윤두준,30,0
291,Alexander Jean,30,0
292,"디핵 (D-Hack), PATEKO (파테코)",28,0
293,2:00 오후,-1,-1
294,창모 (CHANGMO),29,0
295,엔플라잉 (N.Flying),20,0
296,김종국,40,0
297,"로꼬, 화사 (Hwa Sa)",30,0
298,김하온 (HAON),20,0
299,안예은,20,1
300,"조유진 (체리필터), 박기영",40,1
301,SURAN (수란),30,1
302,양파,40,1
303,박지헌,40,0
304,빅마마,40,1
305,"김희철, 민경훈",30,0
306,INO,29,0
307,"심규선 (Lucia), 에피톤 프로젝트",37,1
308,던 (DAWN),30,0
309,Say Yes!,30,0
310,소녀시대 (GIRLS' GENERATION),30,1
311,V,44,0
312,Various Artists,30,0
313,"Coldplay, 방탄소년단",30,0
314,Johnny Stimson,34,0
315,I'll (아일),28,0
316,호피폴라,28,0
317,조승우,43,0
318,박군,37,0
319,김윤아,49,1
320,정기고,42,0
321,"Jawsh 685, Jason Derulo, 방탄소년단",30,0
322,MAX,31,0
323,이찬솔,34,0
324,Coldplay,40,0
325,김재환,27,0
326,NCT 127,20,0
327,NCT DREAM,20,0
328,너드커넥션 (Nerd Connection),30,0
329,홍대광,38,0
330,백현 (BAEKHYUN),31,0
331,The Carpenters,33,1
332,적재,34,0
333,예빛,23,1
334,세븐틴 (SEVENTEEN),20,0
335,신해철,46,0
336,Pink Sweat$,35,0
337,"Zion.T, Crush",34,0
338,유아 (오마이걸),20,1
339,김호중,31,0
340,에이프릴 (APRIL),20,1
341,Bruno Major,30,0
342,블루 (BLOO),28,0
343,IZ*ONE (아이즈원),20,1
344,EXO,30,0
345,백예린 (Yerin Baek),30,1
346,Jeremy Zucker,30,0
347,WOOZI (SEVENTEEN),26,0
348,권진아,26,1
349,크레파스,30,0
350,PL (피엘),30,0
351,T.P RETRO (타디스 프로젝트舊),28,0
352,109,-1,-1
353,잔나비,30,0
354,첸 (CHEN),30,0
355,베이빌론 (Babylon),35,0
356,DJ Khaled,25,0
357,Bruno Mars,37,0
358,pH-1,30,0
359,도겸 (SEVENTEEN),30,0
360,바닐라 어쿠스틱,30,1
361,어쿠루브,30,0
362,펀치 (Punch),30,1
363,김나영,30,1
364,새봄 (saevom),26,1
365,G.Urban (지어반),40,0
366,로시 (Rothy),20,1
367,SOLE (쏠),29,1
368,뉴이스트 W,27,0
